Arc Name,Arc Type,Total Chapters,Manga Percentage,Total Episodes,Total Minutes,Anime Percentage
Romance Dawn Arc,Canon,7,0.0066,3,72,0.0028
Orange Town Arc,Canon,14,0.0132,5,120,0.0046
Syrup Village Arc,Canon,20,0.0189,10,240,0.0092
Baratie Arc,Canon,27,0.0255,12,288,0.0111
Arlong Park Arc,Canon,27,0.0255,14,336,0.0129
Buggy's Crew Adventure Chronicles Arc,Filler,0,0,2,48,0.0018
Loguetown Arc,Canon,5,0.0047,7,168,0.0065
Warship Island Arc,Filler,0,0,8,192,0.0074
Reverse Mountain Arc,Canon,5,0.0047,2,48,0.0018
Whiskey Peak Arc,Canon,9,0.0085,4,96,0.0037
Diary of Koby-Meppo Arc,Filler,0,0,2,48,0.0018
Little Garden Arc,Canon,15,0.0142,8,192,0.0074
Drum Island Arc,Canon,25,0.0237,14,336,0.0129
Arabasta Arc,Canon,63,0.0596,39,936,0.0359
Post-Arabasta Arc,Filler,0,0,5,120,0.0046
Goat Island Arc,Filler,0,0,3,72,0.0028
Ruluka Island Arc,Filler,0,0,5,120,0.0046
Jaya Arc,Canon,19,0.018,9,216,0.0083
Skypiea Arc,Canon,66,0.0624,43,1032,0.0396
G-8 Arc,Filler,0,0,11,264,0.0101
Long Ring Long Land Arc,Canon,19,0.018,13,312,0.012
Ocean's Dream Arc,Filler,0,0,5,120,0.0046
Foxy's Return Arc,Filler,0,0,2,48,0.0018
Water 7 Arc,Canon,53,0.0501,37,888,0.0341
Enies Lobby Arc,Canon,56,0.053,46,1104,0.0424
Post-Enies Lobby Arc,Canon,11,0.0104,13,312,0.012
Ice Hunter Arc,Filler,0,0,10,240,0.0092
Chopper Man Special,Filler,0,0,1,24,0.0009
Thriller Bark Arc,Canon,48,0.0454,45,1080,0.0415
Spa Island Arc,Canon,0,0,3,72,0.0028
Sabaody Archipelago Arc,Canon,24,0.0227,21,504,0.0194
Boss Luffy Historical Special,Filler,0,0,5,120,0.0046
Amazon Lily Arc,Canon,11,0.0104,10,240,0.0092
Straw Hat's Separation Serial,Filler,0,0,8,192,0.0074
Impel Down Arc,Canon,25,0.0237,27,648,0.0249
Little East Blue Arc,Filler,0,0,4,96,0.0037
Marineford Arc,Canon,31,0.0293,33,792,0.0304
Post-War Arc,Canon,17,0.0161,26,624,0.024
Toriko Crossover,Filler,0,0,2,48,0.0018
Return to Sabaody Arc,Canon,5,0.0047,6,144,0.0055
Fishman Island Arc,Canon,51,0.0482,51,1224,0.047
Z's Ambition Arc,Filler,0,0,4,96,0.0037
Punk Hazard Arc,Canon,46,0.0435,46,1104,0.0424
Toriko and Dragon Ball Crossover,Filler,0,0,1,24,0.0009
Caesar Retrieval Arc,Filler,0,0,3,72,0.0028
Dressrosa Arc,Canon,102,0.0965,118,2832,0.1088
Silver Mine Arc,Filler,0,0,4,96,0.0037
Zou Arc,Canon,23,0.0218,29,696,0.0267
Marine Rookie Arc,Filler,0,0,3,72,0.0028
Whole Cake Island Arc,Canon,78,0.0738,95,2280,0.0876
Levely Arc,Canon,6,0.0057,12,288,0.0111
Cidre Guild Arc,Filler,0,0,2,48,0.0018
Anime 20th Anniversary Special,Filler,0,0,1,24,0.0009
Uta's Past Arc,Filler,0,0,2,48,0.0018
Wano Country Arc,Canon,149,0.141,191,4584,0.176
